# Forest Unicorns Coloring Book A Magical Coloring Adventure of Unicorns in Enchanted Woods — 40 cảnh
#
# Sinh tự động bằng `studio.py subjects` ngày 2026-08-08
# Model local: qwen2.5-7b-instruct-1m
# Sửa tay thoải mái — đây là file văn bản thuần, mỗi dòng một trang.
#
# Công thức mỗi dòng: MỘT chủ thể chính + hành động + tối đa 2 thứ nền đơn giản.
# Viết bằng tiếng Anh, vì Flux không hiểu tiếng Việt.
#
# Dùng: python studio.py generate "Forest Unicorns Coloring Book A Magical Coloring Adventure of Unicorns in Enchanted Woods" --theme forest-unicorns-coloring-book-a-magical-coloring-adventure-of-unicorns-in-enchanted-woods --count 40

a happy squirrel holding acorns, standing next to simple tall grass
a content rabbit skipping with a carrot, two daisies behind it
an elegant pony wearing a scarf, grazing on wide open meadow
a playful puppy rolling in leaves, beside clear running water
a friendly owl peeking from the top of a tree, looking at the moonlit sky
a gentle giraffe reaching for leaves, standing near a simple wooden fence
a curious fox examining a stick, one patch of wildflowers nearby
an adorable lamb chewing grass, under a wide open sky
a sweet poodle napping on soft grass, beside a simple stone bench
a cheerful dove perched in a tree, with two round acorns below it
a tiny squirrel eating nuts, standing next to a wide-open field
a cozy bear sitting by a fire, surrounded by small logs and snow
a fluffy lamb grazing happily, under the vast sky
a gentle deer drinking from a clear stream, beside a simple wooden bridge
a playful kitten chasing a butterfly, beside a simple stone wall
a happy puppy playing with bubbles, on wide grassy plain
a shy rabbit nibbling carrots, standing next to a small pond
an elegant peacock spreading its tail, beside an open field of flowers
a content pony munching hay, standing near a simple fencepost
a graceful deer walking through the woods, two mushrooms nearby
a playful kitten sitting on soft grass, staring at a butterfly above
a happy elephant drinking water, standing next to a wide-open stream
an adorable lamb chewing grass, under vast open sky
a curious fox examining leaves, beside an old wooden stump
a cute unicorn standing in a meadow, two daisies nearby
a small puppy sitting by a tree, watching a squirrel climb up
a fluffy kitten sleeping on soft moss, under the watchful sun
a gentle rabbit nibbling carrots, standing next to tall reeds
a cheerful firefly lighting the night, beside a simple wooden fence
a friendly duck swimming in a pond, two lilies floating nearby
a cute squirrel gathering nuts, standing next to an open pine cone
a fluffy bunny eating clover, beside a simple log stump
a graceful owl perched high, staring at the moon above
a tiny mouse nibbling cheese, sitting on soft grass with a pot
a friendly rabbit chatting with another, both in a sunlit field
a playful fox chasing its tail, amidst fallen autumn leaves
a gentle tortoise walking slowly, surrounded by simple dandelions
a happy penguin standing near the edge of ice
a sleepy unicorn lying down, under the shade of an ancient tree
a cheerful fairy dancing lightly, beside a bubbling spring in the meadow
